event_date,event_timestamp,event_name,event_value_in_usd,user_id,user_pseudo_id,user_first_touch_timestamp,category,mobile_model_name,mobile_brand_name,operating_system,language,is_limited_ad_tracking,browser,browser_version,country,medium,name,traffic_source,platform,total_item_quantity,purchase_revenue_in_usd,refund_value_in_usd,shipping_value_in_usd,tax_value_in_usd,transaction_id,page_title,page_location,source,page_referrer,campaign
20201222,1608662916180633,user_engagement,,,78222512.5114977021,1608662850418789,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,Canada,cpc,<Other>,google,WEB,,,,,,,The Google Merchandise Store - My Account,https://shop.googlemerchandisestore.com/myaccount.html,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/myaccount.html?,(referral)
20201222,1608662941074526,scroll,,,78222512.5114977021,1608662850418789,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,Canada,cpc,<Other>,google,WEB,,,,,,,Your Wishlist,https://shop.googlemerchandisestore.com/wishlist.html,,https://shop.googlemerchandisestore.com/myaccount.html?,
20201230,1609330506585510,page_view,,,7322847.1365985835,1609330506585510,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201211,1607656387918361,page_view,,,29263455.9104577635,1607656387918361,mobile,Pixel 4 XL,Google,Web,,No,Chrome,86.0,Japan,cpc,<Other>,google,WEB,,,,,,,Hats | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Hats,google,,<Other>
20210106,1609923003250846,first_visit,,,68682949.7596328690,1609923003250846,mobile,Pixel 3,Google,Web,,No,Chrome,86.0,South Korea,cpc,<Other>,google,WEB,,,,,,,Google Chrome Dinosaur Collectible,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Chrome+Dinosaur+Collectible,,,
20201201,1606795194268770,user_engagement,,,86762928.3657155608,1602304215226771,mobile,Pixel 4 XL,Google,Web,,No,Chrome,86.0,(not set),cpc,<Other>,google,WEB,,,,,,,The Google Merchandise Store - My Account,https://shop.googlemerchandisestore.com/myaccount.html,shop.googlemerchandisestore.com,,(referral)
20201230,1609330506585510,session_start,,,7322847.1365985835,1609330506585510,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201112,1605150045947620,user_engagement,,,6385639.1974424064,1605149566476487,mobile,Pixel 4 XL,Google,Android,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens/Mens+T+Shirts,google,,<Other>
20201217,1608231372924644,user_engagement,,,51098232.6564950910,1608230848665274,mobile,Pixel 3,Google,Android,,No,Chrome,87.0,United Kingdom,cpc,<Other>,google,WEB,,,,,,,Supernatural Paper Tote,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Supernatural+Paper+Tote,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/Google+Redesign/New?,(referral)
20201214,1607929095686573,session_start,,,50849288.3541933620,1607929095686573,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,87.0,Brazil,cpc,<Other>,google,WEB,,,,,,,Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,,,
20210105,1609836854059184,page_view,,,5003282.7032824952,1609836724859008,mobile,Pixel 3,Google,Android,en-us,No,Chrome,<Other>,United States,cpc,<Other>,google,WEB,,,,,,,Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,,,
20210108,1610103384096810,select_item,,,3577555.9782934100,1610103318642746,mobile,Pixel 4 XL,Google,Web,en-us,No,Android Webview,<Other>,India,cpc,<Other>,google,WEB,,,,,,(not set),New | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/New,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens?,(referral)
20201211,1607709259132025,scroll,,,65083125.0867052404,1607549682351325,mobile,Pixel 3,Google,Web,zh,No,Chrome,87.0,India,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://googlemerchandisestore.com/,google,,<Other>
20201105,1604536907504985,user_engagement,,,66831552.2082619079,1604536890444978,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,87.0,Turkey,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://www.googlemerchandisestore.com/,google,,<Other>
20201224,1608815866122380,session_start,,,5081711.0887659115,1608815866122380,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,,,
20201222,1608662925660988,scroll,,,78222512.5114977021,1608662850418789,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,Canada,cpc,<Other>,google,WEB,,,,,,,The Google Merchandise Store - Log In,https://shop.googlemerchandisestore.com/signin.html,,https://shop.googlemerchandisestore.com/signin.html?,
20210124,1611531779927562,view_item,,,1359073.4989017126,1611531405876474,mobile,Pixel 3,Google,Web,en-us,No,Chrome,86.0,United States,cpc,<Other>,google,WEB,,,,,,(not set),Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,,,
20201202,1606941595959243,view_item,,,4386491173.3698720424,1606941106052283,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,(not set),Lifestyle,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle,,,
20201208,1607390176473571,session_start,,,79004783.0153142183,1607390176473571,mobile,Pixel 4 XL,Google,Android,en-us,No,Chrome,87.0,United Kingdom,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://googlemerchandisestore.com/,,,
20201118,1605710870017139,first_visit,,,49915374.2750890548,1605710870017139,mobile,Pixel 3,Google,Android,,No,Chrome,<Other>,United States,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://googlemerchandisestore.com/,,,
20210127,1611785769665467,page_view,,,28418828.1593094975,1611785766586648,mobile,Pixel 3,Google,Web,,No,Android Webview,<Other>,United Kingdom,cpc,<Other>,google,WEB,,,,,,,YouTube | Shop by Brand | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/YouTube,creatoracademy.youtube.com,,(referral)
20201217,1608202070064606,session_start,,,87041635.3179481672,1608202070064606,mobile,Pixel 3,Google,Web,en-gb,No,Chrome,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,,,
20210115,1610700008121154,view_promotion,,,29612064.1827254131,1610699995908570,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,(not set),Home,https://shop.googlemerchandisestore.com/,,,
20201202,1606925208514614,select_promotion,,,57318675.2675376481,1606925080212968,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,Lebanon,cpc,<Other>,google,WEB,,,,,,(not set),Home,https://shop.googlemerchandisestore.com/,,,
20201210,1607608679986851,first_visit,,,40487922.8463531992,1607608679986851,mobile,Pixel 4 XL,Google,Web,,No,Chrome,86.0,United States,cpc,<Other>,google,WEB,,,,,,,YouTube | Shop by Brand | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/YouTube,,,
20201130,1606770335245526,view_promotion,,,6834253.2413673884,1606770330170264,mobile,Pixel 3,Google,Android,es-es,No,Chrome,87.0,China,cpc,<Other>,google,WEB,,,,,,(not set),Home,https://shop.googlemerchandisestore.com/,google,,<Other>
20210107,1610020784873818,view_promotion,,,5877057.5800583762,1610020778756975,mobile,Pixel 3,Google,Android,en-us,No,Chrome,<Other>,United States,cpc,<Other>,google,WEB,,,,,,(not set),Home,https://shop.googlemerchandisestore.com/,,,
20210105,1609836824765350,view_item,,,5003282.7032824952,1609836724859008,mobile,Pixel 3,Google,Android,en-us,No,Chrome,<Other>,United States,cpc,<Other>,google,WEB,,,,,,(not set),Sale | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Clearance,,,
20201222,1608662889586126,user_engagement,,,78222512.5114977021,1608662850418789,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,Canada,cpc,<Other>,google,WEB,,,,,,,The Google Merchandise Store - My Account,https://shop.googlemerchandisestore.com/myaccount.html,,https://shop.googlemerchandisestore.com/myaccount.html?,
20201112,1605145412536259,scroll,,,1073675.4185248044,1605145397139475,mobile,Pixel 4 XL,Google,Android,zh,No,Chrome,87.0,India,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201116,1605541305294613,page_view,,,5790788.6442331569,1605541305294613,mobile,Pixel 4 XL,Google,Android,en,No,Chrome,<Other>,Russia,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://googlemerchandisestore.com/,google,,<Other>
20201103,1604382247476325,session_start,,,6016153.5120427538,1600131664218605,mobile,Pixel 3,Google,Android,en-us,No,Chrome,<Other>,Denmark,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201116,1605529292490675,user_engagement,,,49760157.7026735167,1605528847570934,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Google Women's Puff Jacket Black,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Womens+Puff+Jacket+Black,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/asearch.html?,(referral)
20201124,1606213071151746,page_view,,,77753243.2431700911,1606213071151746,mobile,Pixel 4 XL,Google,Android,,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://googlemerchandisestore.com/,,,
20201211,1607709253332905,page_view,,,65083125.0867052404,1607549682351325,mobile,Pixel 3,Google,Web,zh,No,Chrome,87.0,India,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://googlemerchandisestore.com/,google,,<Other>
20201212,1607796366613106,scroll,,,46573436.5522419113,1607796328449078,mobile,Pixel 3,Google,Android,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Hats | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Hats,shop.googlemerchandisestore.com,,(referral)
20210104,1609804006901601,first_visit,,,54564348.5788755261,1609804006901601,mobile,Pixel 4 XL,Google,Android,,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20210125,1611533391293507,user_engagement,,,1359073.4989017126,1611531405876474,mobile,Pixel 3,Google,Web,en-us,No,Chrome,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Checkout Review,https://shop.googlemerchandisestore.com/revieworder.html,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/revieworder.html;,(referral)
20201202,1606941139383350,page_view,,,4386491173.3698720424,1606941106052283,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,New | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/New,shop.googlemerchandisestore.com,,(referral)
20201103,1604435987824585,page_view,,,5428515.2973547990,1604435987824585,mobile,Pixel 3,Google,Web,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201124,1606213071151746,session_start,,,77753243.2431700911,1606213071151746,mobile,Pixel 4 XL,Google,Android,,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://googlemerchandisestore.com/,,,
20210105,1609836731398647,page_view,,,5003282.7032824952,1609836724859008,mobile,Pixel 3,Google,Android,en-us,No,Chrome,<Other>,United States,cpc,<Other>,google,WEB,,,,,,,Google Land & Sea Nalgene Water Bottle,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Google+Land+and+Sea+Nalgene+Water+Bottle+LS,,,
20210108,1610103368227810,view_item,,,3577555.9782934100,1610103318642746,mobile,Pixel 4 XL,Google,Web,en-us,No,Android Webview,<Other>,India,cpc,<Other>,google,WEB,,,,,,(not set),Google Knit Blanket,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Google+Knit+Blanket,,https://shop.googlemerchandisestore.com/Google+Redesign/New?,
20210125,1611533419175747,page_view,,,1359073.4989017126,1611531405876474,mobile,Pixel 3,Google,Web,en-us,No,Chrome,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Checkout Your Information,https://shop.googlemerchandisestore.com/yourinfo.html,,https://shop.googlemerchandisestore.com/basket.html?,
20210124,1611531538319602,add_to_cart,,,1359073.4989017126,1611531405876474,mobile,Pixel 3,Google,Web,en-us,No,Chrome,86.0,United States,cpc,<Other>,google,WEB,,,,,,(not set),Sale | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Clearance,,,
20201128,1606550211605999,session_start,,,73526001.5707365753,1606550211605999,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,YouTube | Shop by Brand | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/YouTube,,,
20201112,1605149599926551,scroll,,,6385639.1974424064,1605149566476487,mobile,Pixel 4 XL,Google,Android,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens/Mens+T+Shirts,google,,<Other>
20201209,1607491787111495,first_visit,,,61008231.1453456647,1607491787111495,mobile,Pixel 3,Google,Web,zh,No,Chrome,87.0,Singapore,cpc,<Other>,google,WEB,,,,,,,The Google Merchandise Store - Log In,https://shop.googlemerchandisestore.com/signin.html,,,
20201103,1604370949887110,user_engagement,,,9040771.0094247458,1604370922932045,mobile,Pixel 3,Google,Android,,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201116,1605529496874241,page_view,,,49760157.7026735167,1605528847570934,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/store.html,,,
20201116,1605495397322616,page_view,,,11414768.9044705149,1605495156378014,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,86.0,Serbia,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,https://shop.googlemerchandisestore.com/Google+Redesign/New?,
20201201,1606794636477908,page_view,,,86762928.3657155608,1602304215226771,mobile,Pixel 4 XL,Google,Web,,No,Chrome,86.0,(not set),cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201209,1607491854855533,user_engagement,,,61008231.1453456647,1607491787111495,mobile,Pixel 3,Google,Web,zh,No,Chrome,87.0,Singapore,cpc,<Other>,google,WEB,,,,,,,The Google Merchandise Store - Log In,https://shop.googlemerchandisestore.com/registersuccess.html,,,
20210129,1611890202094629,session_start,,,86609489.7027752339,1611890202094629,mobile,Pixel 3,Google,Web,,No,Chrome,86.0,South Korea,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20210105,1609836884334031,scroll,,,5003282.7032824952,1609836724859008,mobile,Pixel 3,Google,Android,en-us,No,Chrome,<Other>,United States,cpc,<Other>,google,WEB,,,,,,,Shopping Cart,https://shop.googlemerchandisestore.com/basket.html,,https://shop.googlemerchandisestore.com/basket.html?,
20201211,1607657246310560,user_engagement,,,29263455.9104577635,1607656387918361,mobile,Pixel 4 XL,Google,Web,,No,Chrome,86.0,Japan,cpc,<Other>,google,WEB,,,,,,,Google Metallic Notebook Set,https://shop.googlemerchandisestore.com/Google+Redesign/Office/Notebooks+Journals/Google+Metallic+Notebook+Set.axd,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/Google+Redesign/Stationery?,(referral)
20210107,1610020811999502,scroll,,,5877057.5800583762,1610020778756975,mobile,Pixel 3,Google,Android,en-us,No,Chrome,<Other>,United States,cpc,<Other>,google,WEB,,,,,,,Drinkware | Lifestyle | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Drinkware,shop.googlemerchandisestore.com,,(referral)
20201105,1604542740066713,user_engagement,,,28922323.3516501120,1604542729521571,mobile,Pixel 4 XL,Google,Web,zh,No,Chrome,<Other>,Pakistan,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201202,1606941112844439,view_item,,,4386491173.3698720424,1606941106052283,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,(not set),Noogler Android Figure 2019,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Noogler+Android+Figure+2019,google,,<Other>
20201212,1607796333545390,scroll,,,46573436.5522419113,1607796328449078,mobile,Pixel 3,Google,Android,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Google Chrome Dinosaur Collectible,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Chrome+Dinosaur+Collectible,,,
20201211,1607656987538498,user_engagement,,,29263455.9104577635,1607656387918361,mobile,Pixel 4 XL,Google,Web,,No,Chrome,86.0,Japan,cpc,<Other>,google,WEB,,,,,,,Google Perk Thermal Cup,https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Perk+Thermal+Cup,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle?,(referral)
20210120,1611126121113077,session_start,,,21646100.3412167098,1611091006510304,mobile,Pixel 3,Google,Web,,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201116,1605528847570934,session_start,,,49760157.7026735167,1605528847570934,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/store.html,,,
20201201,1606794912330112,page_view,,,86762928.3657155608,1602304215226771,mobile,Pixel 4 XL,Google,Web,,No,Chrome,86.0,(not set),cpc,<Other>,google,WEB,,,,,,,The Google Merchandise Store - My Account,https://shop.googlemerchandisestore.com/myaccount.html,shop.googlemerchandisestore.com,,(referral)
20201222,1608662872845462,view_promotion,,,78222512.5114977021,1608662850418789,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,Canada,cpc,<Other>,google,WEB,,,,,,(not set),Home,https://shop.googlemerchandisestore.com/store.html,,https://shop.googlemerchandisestore.com/signin.html?,
20201218,1608284993400730,session_start,,,139505255.2386210507,1608284993400730,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,YouTube Iconic Play Pin,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/YouTube+Iconic+Play+Pin,,,
20201211,1607656892441537,scroll,,,29263455.9104577635,1607656387918361,mobile,Pixel 4 XL,Google,Web,,No,Chrome,86.0,Japan,cpc,<Other>,google,WEB,,,,,,,Lifestyle,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle,,,
